Key,CompanyName,OperatingAs,Latitude,Longitude,FullAddress,FSA,PhoneNumber,FAXNumber,WebAddress,LineOfBusiness,FacilitySize,IsImporter,IsExporter,IsManufacturing,LocationType,UltimateParent,Immediate Parent,FiscalYear-End,Revenue,TotalEmployees,Employee Growth (%),EmployeesThisLocation,MarketValue,Year of Founding,PrimaryIndustry,PrimaryNAICS,,Cluster
43885,Alberta Mortgages,,50.99217606,-114.0578308,"Calgary, Alberta, T2H 0T2",T2H,403-249-9650,,www.alberta-mortgages.com,Mortgage Broker based in Calgary serving Alberta Saskatchewan and Manitoba.,1518,No,No,No,SINGLE_LOCATION,,,,0.229013,1,,1,,,Mortgage Banking,522292,52,Financial Services
43939,Canadian Paramedical Services Inc,,50.99193573,-114.0613708,"Calgary, Alberta, T2H 0T3",T2H,403-259-8399,403-259-8369,www.canadianparamedicalservices.ca,To joint venture in the provision of emergency medical services and related equipment to aboriginal area of Alberta and Canada. Through a joint venture with Canadian Paramedical Services we provide EMS personal and equipment to oil and gas ...,14208,No,No,No,SINGLE_LOCATION,,,,1.80225,46,,46,,,Ambulatory Health Care Services,621399,62,Local Health Services
44067,Baker Hughes Canada Company,,50.98516464,-114.0598984,"Calgary, Alberta, T2H 0X9",T2H,780-714-6672,780-714-6732,www.bakerhughes.com,Baker Hughes serves the worldwide oil and natural gas industry with reservoir consulting and products and services for drilling formation evaluation completion and production. We are a leading provider for high-performance technology that creates ...,2788,No,Yes,No,BRANCH,Baker Hughes Incorporated,Baker Hughes Canada Company,,,,,,,,Oil & Gas Field Services,213112,21,Oil and Gas Production and Transportation
44256,Sealtech Restorations Ltd,,50.996347,-114.059923,"Calgary, Alberta, T2H 1J4",T2H,403-253-5002,403-253-2636,www.sealtechrestorations.com,ASBESTOS REMOVAL.  HARZARDOUS MATERIALS REMOVAL OF LEAD PCB AND MERCURY.,4575,No,No,No,SINGLE_LOCATION,,,,1.4418,10,,10,,1992,Hazardous Waste Services,562211,56,Local Utilities
44797,Express Employment Professionals,,50.99351501,-114.0694656,"Calgary, Alberta, T2H 2A7",T2H,403-255-3350,,www.expresspros.com,Express Employment Professionals is a full service staffing agency. We provide temporary evaluation (temp-perm) and permanent placements.,1184,No,No,No,SINGLE_LOCATION,,,,0.07209,1,,1,,,Staffing Services,561311,56,Business Services
44829,Tervita Corporation,,50.99886703,-114.0484009,"Calgary, Alberta, T2H 2B7",T2H,403-263-6248,,,Tervita is a leading environmental solutions provider. Our integrated earth water waste and resource solutions deliver safe and efficient results through all phases of a project by minimizing impact maximizing returns.™ Our dedicated employees ...,1001,No,No,No,BRANCH,Tervita Corporation,Tervita Corporation,,,,,1,,,Oil & Gas Field Services,213112,21,Oil and Gas Production and Transportation
44908,BMP Supplies Inc,,50.99842453,-114.0460205,"Calgary, Alberta, T2H 2C2",T2H,403-243-5973,403-807-7438,www.bmpsupplies.com,Patent rights holder to a complete line of erosion control and  stormwater protection products. BMP enjoys market dominance in  the field of catch basin protection products that filter  sediment-laden water before they enter a catch basin.,1496,No,Yes,No,SINGLE_LOCATION,,,,0.086508,1,,1,,,Remediation & Environmental Cleanup Services,562910,56,Local Utilities
44989,Calta Computer Systems Limited,,50.99176788,-114.051033,"Calgary, Alberta, T2H 2G2",T2H,403-252-5094,403-252-5102,,Our company produces both hardware & software packages primarily for industrial applications. Our Arbitrator hardware product is a low cost serial data multiplexor for use with Modbus type  protocols. We offer two windows based communications ...,1292,No,Yes,No,SINGLE_LOCATION,,,,0.15794,,,,,1981,Information Technology Services,541511,54,"Marketing, Design, and Publishing"
45100,Wesco Distribution Canada LP,,51.00008,-114.044341,"Calgary, Alberta, T2H 2G5",T2H,403-253-7561,,www.wesco.ca,International electrical wholesale distributor of North American and European standard materials,2131,No,Yes,No,BRANCH,"Wesco International, Inc.",Wesco Distribution Canada LP,,,,,2,,,Electrical Products Wholesalers,423610,42,Distribution and Electronic Commerce
45113,Cameron Canada Corporation,,50.99111938,-114.0492554,"Calgary, Alberta, T2H 2H3",T2H,403-255-7930,,,Cooper Cameron Corporation is a leading international manufacturer of oil and gas pressure control equipment including valves wellheads chokes blowout preventers and assembled systems for oil and gas drilling production and transmission ...,1238,No,Yes,No,SINGLE_LOCATION,,,,0.086508,1,,1,,,Consulting Services,541618,54,Business Services
45150,Lease Link Canada Corp,,50.98860931,-114.0694809,"Calgary, Alberta, T2H 2H8",T2H,403-398-0375,,,Lease Link Canada Corp. is a 100% Canadian owned and operated Financial Services Company providing equipment lease financing and asset management services to a wide variety of industries from mining oil & gas to health care.,1184,No,No,No,BRANCH,Credicor Financial Corp,Lease Link Canada Corp,,,,,1,,,Commercial & Industrial Equipment Rental & Leasing,532490,53,Distribution and Electronic Commerce
45210,Landel Controls Ltd,,50.9911232,-114.0502014,"Calgary, Alberta, T2H 2J6",T2H,403-254-8900,403-254-8903,www.landelcontrols.com,Electrical supplier and wholesaler.,2799,Yes,No,No,HEADQUARTERS,Landel Controls Ltd,Landel Controls Ltd,,2.1627,12,,6,,1964,Industrial Equipment Wholesalers,423830,42,Distribution and Electronic Commerce
45462,Convergint Technologies Ltd,,50.99843,-114.036621,"Calgary, Alberta, T2H 2L7",T2H,403-291-3241,403-291-2577,,Convergint Technologies LTD is a global service-based systems integrator that designs installs and services integrated building systems including electronic security fire alarm and life safety and building automation solutions.,6997,Yes,Yes,Yes,HEADQUARTERS,Convergint Technologies LLC,Convergint Technologies LLC,,21.05028,163,,,,2002,Engineering Services,541330,54,Business Services
45602,Stantec Consulting Ltd,,50.99965668,-114.0372467,"Calgary, Alberta, T2H 2M4",T2H,403-216-2140,403-216-2144,,The Stantec community unites more than 15000 employees working in over 250 locations. We collaborate across disciplines and industries to bring buildings energy and resource and infrastructure projects to life. Our work—professional consulting in ...,34175,No,Yes,No,BRANCH,Stantec Inc,Stantec Consulting Ltd,,,,,200,,,Engineering Services,541330,54,Business Services
45842,Morrison Hershfield Limited,,50.99181,-114.043331,"Calgary, Alberta, T2H 2V6",T2H,403-246-4500,403-246-4220,,Founded in 1946 Morrison Hershfield continues to uphold its  reputation as a prominent specialty engineering and management  firm.  Our mandate is to provide services and solutions that  will assist our clients in achieving their objectives in a ...,22023,No,Yes,No,BRANCH,Morrison Hershfield Group Inc,Morrison Hershfield Limited,,7.85781,,,100,,,Engineering Services,541330,54,Business Services
45843,Umatac Industrial Processes,Industrial Research,50.99125,-114.042819,"Calgary, Alberta, T2H 2V6",T2H,403-910-1000,403-910-1040,www.umatac.ca,UMATAC Industrial Processes is the developer and supplier of the Alberta Taciuk Processes for extraction recovery and primary upgrading of hydrocarbons from oil shale oil sand and hydrocarbon waste materials.  The Alberta Taciuk Processor ...,8557,No,Yes,No,SINGLE_LOCATION,ThyssenKrupp AG,ThyssenKrupp Industrial Solutions AG,,1.65807,18,,18,,,Consulting Services,541618,54,Business Services
45882,Tac Solutions,,51.00440979,-114.0620499,"Calgary, Alberta, T2H 2W9",T2H,403-253-9642,,www.tacsolutions.ca,Specializing in the Sale and Service of two way radio equipment enhanced in-building communications systems and data capture equipment,1184,No,No,No,SINGLE_LOCATION,,,,0.086508,1,,1,,,Consulting Services,541618,54,Business Services
45900,Target Realty Corp,,50.99773407,-114.0351257,"Calgary, Alberta, T2H 2X2",T2H,403-253-3060,403-253-3221,www.target-realty.com,As the longest-serving independent commercial real estate group in Calgary Target Realty offer clients the knowledge insight and expertise required for selling leasing investment development and tenant representation of industrial office ...,5845,No,No,No,SINGLE_LOCATION,,,,1.08135,12,,12,,1985,Real Estate,531210,53,"Local Real Estate, Construction, and Development"
45963,Hsb Solomon Associates Canada Ltd,,50.99914932,-114.0374527,"Calgary, Alberta, T2H 2Z2",T2H,403-265-0600,,,Energy Consulting for NA,1001,No,No,No,SINGLE_LOCATION,,,,0.093717,1,,1,,,Oil & Gas Field Services,213112,21,Oil and Gas Production and Transportation
46044,Deerfoot Meadows Dental,,50.981732,-114.044393,"Calgary, Alberta, T2H 3B5",T2H,403-258-3444,403-258-3446,www.deerfootmeadows.com,At Deerfoot Meadows Dental your comfort and health are important to us. That's why we are so proud of our smiling and knowledgeable team of Calgary AB dentists.,3864,No,No,No,SINGLE_LOCATION,,,,0.346032,6,,6,,,Dentists,621210,62,Local Health Services
46296,HSBC Bank Canada,,50.971633,-114.071391,"Calgary, Alberta, T2J 0P5",T2J,403-777-5770,,www.hsbc.ca,HSBC Bank Canada a subsidiary of HSBC Holdings plc London UK has more than 180 offices and is the leading international bank in Canada. With around 9500 offices in 85 countries and territories and assets of US$2547 billion at 30 June 2008 the ...,5231,No,Yes,No,BRANCH,HSBC HOLDINGS PLC,HSBC Bank Canada,,,,,7,,,Consumer Lending,522291,52,Financial Services
46304,Shell Canada Limited,South Trail Shell,50.969989,-114.071394,"Calgary, Alberta, T2J 0P5",T2J,403-252-4025,,www.shell.ca,,2648,No,Yes,No,BRANCH,ROYAL DUTCH SHELL PLC,Shell Canada Limited,,0.74835,,,4,,,Convenience Stores & Truck Stops,445120,44,Local Food and Beverage Processing and Distribution
46530,North West International Ltd.,,50.94340134,-114.0591812,"Calgary, Alberta, T2J 1E6",T2J,403-278-0343,403-278-9609,,,1324,No,Yes,No,SINGLE_LOCATION,,,,0.094764,1,,1,,,Market Research & Polling Services,541910,54,"Marketing, Design, and Publishing"
46869,Kal Tire,,50.963471,-114.071394,"Calgary, Alberta, T2J 3K9",T2J,403-266-0684,,,Tire sales service repair.,1098,No,No,No,BRANCH,Kal Tire,Kal Tire,,,,,1,,,Tire Dealers,441320,44,Local Motor Vehicle Products and Services
47299,OilPro Oilfield Production Equipment Ltd,OilPro,50.93209457,-114.0552444,"Calgary, Alberta, T2J 5A3",T2J,403-215-3373,403-216-1571,www.oilpro.ca,OilPro is a supplier of new and used oil and gas production  equipment.  We represent various fabricators from the USA-Swalls  Inc. and Westerman Companies as well as small Canadian  fabricators.  We carry inventories of equipment for ...,2164,Yes,Yes,No,SINGLE_LOCATION,,,,0.483003,5,,5,,1997,Oil & Gas Field Services,213112,21,Oil and Gas Production and Transportation
47397,Amina Consulting Corp,,50.957011,-114.071448,"Calgary, Alberta, T2J 5N8",T2J,403-254-4376,,,AM¡NA provides trusted ethical and impartial services that help corporate and government clients meet data privacy/access information protection and corporate governance requirements.  AM¡NA develops data protection frameworks writes data ...,1324,No,Yes,No,SINGLE_LOCATION,,,,,1,,1,,,Insurance Agencies & Brokerages,524210,52,Local Financial Services
48100,Cheap Smokes & Cigars,,50.94453812,-114.0700989,"Calgary, Alberta, T2J 7G9",T2J,403-475-2437,,www.cheapsmokescanada.com,Full service tobacconist selling Cigars Cigarettes Pipe & Chewing Tobacco.  23 linear foot walk in humidor lowest priced cigars in Calgary!,1098,No,No,No,SINGLE_LOCATION,,,,0.118455,1,,1,,,Retail Sector,453991,45,Local Motor Vehicle Products and Services
48346,Shell Canada Limited,Shell,51.10205,-114.071921,"Calgary, Alberta, T2K 1B3",T2K,403-295-2141,403-295-2066,www.shell.ca,,2863,No,Yes,No,BRANCH,ROYAL DUTCH SHELL PLC,Shell Canada Limited,,,,,4,,,Car Washes,811192,81,Local Motor Vehicle Products and Services
48990,Western Automotive Supplies Limited,,51.10113144,-114.0484085,"Calgary, Alberta, T2K 5Y4",T2K,403-275-3991,403-274-1948,,,5242,No,No,No,SINGLE_LOCATION,,,,3.96495,11,,11,,,Automobile Dealers,441110,44,Local Motor Vehicle Products and Services
49180,Balo Industries,,51.08047,-114.098551,"Calgary, Alberta, T2L 0K2",T2L,403-284-2353,403-289-7191,www.baloindustries.ca,Balo Industries was formed in 1960 to manufacture high quality solid brass fishing spoons for the sport fishing markets in Canada and the United States. The fishing spoons feature a high lustre finish available in ten different designs and numerous ...,11431,No,Yes,Yes,SINGLE_LOCATION,,,,0.7209,11,,11,,1960,Sporting Goods Manufacturing,339920,33,Recreational and Small Electric Goods
49307,HSBC Bank Canada,HSBC Finance,51.08753967,-114.1313477,"Calgary, Alberta, T2L 1K8",T2L,403-277-7526,403-277-8452,www.hsbc.ca,HSBC Bank Canada a subsidiary of HSBC Holdings plc London UK has more than 180 offices and is the leading international bank in Canada. With around 9500 offices in 85 countries and territories and assets of US$2547 billion at 30 June 2008 the ...,5231,No,Yes,No,BRANCH,HSBC HOLDINGS PLC,HSBC Bank Canada,,,,,,,,Consumer Lending,522291,52,Financial Services
49328,Sears Home Store,,51.08753967,-114.1313477,"Calgary, Alberta, T2L 1K8",T2L,403-220-9109,,www.sears.ca,Hello and welcome to your local Sears Home Store where you’ll find our full lines of indoor and outdoor furniture appliances electronics and mattresses as well as home décor items. You can fill just about every room in the house or you can find ...,1098,No,No,No,SINGLE_LOCATION,,,,0.102661,10,,10,,,Retail Sector,453998,45,Local Personal Services (Non-Medical)
49471,Shell Canada Limited,,51.08501,-114.139501,"Calgary, Alberta, T2L 1Y8",T2L,403-284-6500,,www.shell.ca,,3821,No,Yes,No,BRANCH,ROYAL DUTCH SHELL PLC,Shell Canada Limited,,,,,5,,,Wholesale Sector,423120,42,Distribution and Electronic Commerce
49484,Canadian Energy Research Institute,CERI,51.08387,-114.133811,"Calgary, Alberta, T2L 2A6",T2L,403-282-1231,,www.ceri.ca,The Canadian Energy Research Institute (CERI) is an independent non-profit research institute committed to excellence in the analysis of energy economics and related environmental policy issues in the producing transportation and consuming ...,1841,No,Yes,No,BRANCH,Canadian Energy Research Institute,Canadian Energy Research Institute,,,,,2,,,Media,519120,51,"Marketing, Design, and Publishing"
49485,Canadian Energy Research Institute,CERI,51.08387,-114.133811,"Calgary, Alberta, T2L 2A6",T2L,403-220-2368,403-284-4181,www.ceri.ca,The Canadian Energy Research Institute (CERI) is an independent non-profit research institute committed to excellence in the analysis of energy economics and related environmental policy issues in the producing transportation and consuming ...,5091,No,Yes,No,HEADQUARTERS,Canadian Energy Research Institute,Canadian Energy Research Institute,,0.86867,14,,,,1975,Scientific Research & Development Services,541712,54,Education and Knowledge Creation
49601,Xpan Interactive Ltd,,51.08491516,-114.1295929,"Calgary, Alberta, T2L 2K7",T2L,403-208-3848,403-208-3858,www.xpan.ca,Xpan Interactive Ltd is a full service digital agency that provides advanced e-learning solutions multimedia services and Internet development and marketing services.,6329,No,Yes,No,SINGLE_LOCATION,,,,0.94764,12,,12,,,Graphic Design Services,541430,54,"Marketing, Design, and Publishing"
49608,Itres Research Limited,,51.08491516,-114.1295929,"Calgary, Alberta, T2L 2K7",T2L,403-250-9944,403-250-9916,www.itres.com,ITRES Research Limited is a private Canadian corporation headquartered in Calgary Alberta which has provided high-quality airborne electro-optical instruments for the scientific and remote sensing communities since 1979. ITRES conducts research and ...,10000,Yes,Yes,No,HEADQUARTERS,Para Equities Inc,Para Equities Inc,,1.87434,33,,,,1979,Scientific Research & Development Services,541712,54,Education and Knowledge Creation
49651,PCC Group Limited,,51.08491516,-114.1295929,"Calgary, Alberta, T2L 2K7",T2L,403-267-2402,403-267-2404,www.pccgroup.ca,PCC Group is Western Canada’s leading designer and integrator for “Plug & Play” low voltage IP solutions; including modular data cabling multimedia integration audio visual sound masking and mass notification systems.  PCC offer immediate value ...,1270,No,No,No,SINGLE_LOCATION,,,,0.0555093,1,,1,,,Scientific Research & Development Services,541712,54,Education and Knowledge Creation
50508,Vizcan Systems,,51.07853699,-114.118042,"Calgary, Alberta, T2M 3Z4",T2M,403-816-9737,403-244-5816,,Specializing in Advanced Visualization Simulation and Control systems,2142,No,Yes,Yes,SINGLE_LOCATION,,,,0.122553,1,,1,,,Electrical Products Manufacturing,334290,33,Communications Equipment and Services
50665,CMS Presentation Services,,51.05733871,-114.0775375,"Calgary, Alberta, T2N 0A1",T2N,403-256-1574,403-256-1574,,Provider of PC-based graphic design services specializing in Powerpoint presentations and custom Word templates.,1345,No,No,No,SINGLE_LOCATION,,,,0.07897,1,,1,,1989,Graphic Design Services,541430,54,"Marketing, Design, and Publishing"
50730,Megaphone Communications,,51.05521774,-114.1111221,"Calgary, Alberta, T2N 0K7",T2N,403-283-5774,403-283-5764,,,2045,No,No,No,SINGLE_LOCATION,,,,0.108135,2,,2,,,Managed Application & Network Services,518210,51,Business Services
50799,Thermal Creek Ltd.,,51.05784988,-114.100174,"Calgary, Alberta, T2N 0W2",T2N,403-589-3693,,www.thermalcreek.com,Thermal Creek creates custom renewable energy systems for residential commercial and industrial buildings. We are geothermal energy experts and create heating and cooling systems that save 70% of the energy used by conventional climate control.,1345,No,Yes,No,SINGLE_LOCATION,,,,,,,,,,Water & Sewer Utilities,221330,22,Construction Products and Services
50905,ATECH Application Technology Limited,,51.06381,-114.128341,"Calgary, Alberta, T2N 1M1",T2N,403-261-0005,403-261-0006,www.atech.ca,,2971,No,Yes,No,SINGLE_LOCATION,"Kenny Group Inc, The","Kenny Group Inc, The",,0.86867,8,,8,,1988,Oil & Gas Field Services,213112,21,Oil and Gas Production and Transportation
50911,Kal Tire,,51.06452942,-114.0971909,"Calgary, Alberta, T2N 1M6",T2N,403-284-4809,403-284-4821,,Tire sales service repair.,8880,No,No,No,BRANCH,Kal Tire,Kal Tire,,,,,27,,,Tire Dealers,441320,44,Local Motor Vehicle Products and Services
51509,MRF Geosystems Corporation,,51.05727,-114.095041,"Calgary, Alberta, T2N 2A1",T2N,403-216-5515,403-216-5518,www.mrf.com,MRF Geosystems Corporation is a well-established GIS software and services provider.  In addition to our leading edge software solutions MRF has been providing consulting services custom programming services and data conversion and migration ...,6814,No,Yes,No,SINGLE_LOCATION,,,,1.87434,23,,23,,1992,Information Technology Services,541511,54,"Marketing, Design, and Publishing"
52023,Global Connections,,51.0528,-114.091331,"Calgary, Alberta, T2N 3P7",T2N,403-241-1390,403-241-1390,www.globalconnectionstraining.ca,Global Connection offers English language training customized to meet the needs of international companies and their staff.  Our goal is to help our clients to be more effective in working with their diverse work forces business contacts and ...,1292,No,Yes,No,SINGLE_LOCATION,,,,0.0513305,1,,1,,,Education & Training Services,611630,61,Education and Knowledge Creation
52200,Aecom,,51.05260849,-114.1195602,"Calgary, Alberta, T2N 3S3",T2N,403-270-9200,,www.aecom.com,General oilfield construction plant construction pipeline construction plant maintenance & turnarounds industrial electric & automation.  Oilfield service company headquartered in Calagary Alberta.   The companies operations are separated ...,1184,No,Yes,No,SINGLE_LOCATION,,,,0.094764,1,,1,,,Consulting Services,541611,54,Business Services
52218,Cascade Orthotics Ltd.,,51.052948,-114.1222,"Calgary, Alberta, T2N 3S6",T2N,403-283-7872,,www.cascadeorthotics.com,Our Certified Orthotists Skilled Technicians and Personable Office Staff provide all the resources you require to receive a Professional and Comfortable Orthotic treatment experience.  The Staff of Cascade Orthotics have been providing acute ...,1550,No,No,No,SINGLE_LOCATION,,,,0.110558,1,,1,,1993,Wholesale Sector,423990,42,Distribution and Electronic Commerce
52569,FMC Technologies Company,,51.04771042,-114.068718,"Calgary, Alberta, T2P 0B2",T2P,403-232-1141,403-264-3933,,Manufacturer of the highest quality conventional and thermal  wellhead systems available today. We have a vast inventory of wellhead isolation equipment which includes our patented  Isolation Sleeve for high volume/ high pressure well fracturing. ...,5931,No,Yes,No,BRANCH,"FMC Technologies, Inc.",FMC Technologies Company,,,,,10,,,Industrial Equipment Wholesalers,423830,42,Distribution and Electronic Commerce
52637,Long View Systems Corporation,,51.05031967,-114.0674667,"Calgary, Alberta, T2P 0C1",T2P,403-515-6900,403-515-6919,www.longviewsystems.com,Long View is one of the most powerful IT solutions and services companies in North America with offices across the continent. With a clear focus on combining business and technology in key areas such as Cloud data center infrastructure user ...,66984,No,No,No,HEADQUARTERS,Long View Systems Corporation,Long View Systems Corporation,,72.09,1000,,500,,1999,Information Technology Services,541512,54,"Marketing, Design, and Publishing"
52660,HSBC Bank Canada,,51.0515213,-114.0769043,"Calgary, Alberta, T2P 0E4",T2P,604-467-1131,604-467-1520,www.hsbc.ca,HSBC Bank Canada a subsidiary of HSBC Holdings plc London UK has more than 180 offices and is the leading international bank in Canada. With around 9500 offices in 85 countries and territories and assets of US$2547 billion at 30 June 2008 the ...,13832,No,Yes,No,BRANCH,HSBC HOLDINGS PLC,HSBC Bank Canada,,,,,,,,Banks & Credit Unions,522110,52,Financial Services
52737,Suncor Energy Inc,,51.04961,-114.063491,"Calgary, Alberta, T2P 0H3",T2P,,,,,1001,No,Yes,No,BRANCH,Suncor Energy Inc,Suncor Energy Inc,,,,,1,,,Oil & Gas Field Services,213112,21,Oil and Gas Production and Transportation
52772,Hallmark Tubulars Ltd,HALLMARK INTEGRATED TUBULAR SOLUTIONS,51.04962158,-114.0689621,"Calgary, Alberta, T2P 0H7",T2P,403-266-3807,403-266-6282,www.hallmarksolutions.ca,Hallmark Tubulars began over 25 years ago as a supplier of premium OCTG (Oil Country Tubular Goods) and Line Pipe products.  Today tubular sales and service remains very much a core part of our business.  We offer tubular procurement management ...,16630,Yes,Yes,No,HEADQUARTERS,MARUBENI-ITOCHU STEEL INC.,MARUBENI-ITOCHU TUBULARS AMERICA INC.,,57.59991,140,,45,,1980,Steel Service Centers & Other Metal Wholesalers,423510,42,Distribution and Electronic Commerce
52795,Cantak Corporation,,51.049439,-114.068962,"Calgary, Alberta, T2P 0J1",T2P,403-269-5536,403-264-7255,,Well established and reputable company supplying a full range of Energy Tubulars including Line Pipe and Oil Country Tubulars. We are a global supplier bringing the best of the world to the Canadian market in Casing Tubing and Line Pipe to ...,3003,Yes,Yes,No,SINGLE_LOCATION,MITSUBISHI CORPORATION,METAL ONE CORP.,,8.14617,,,,,1953,Steel Service Centers & Other Metal Wholesalers,423510,42,Distribution and Electronic Commerce
53098,P2 Energy Solutions Alberta ULC,,51.04863358,-114.0755692,"Calgary, Alberta, T2P 0M9",T2P,403-774-1000,403-774-1010,,,18697,No,Yes,No,SINGLE_LOCATION,"P2 Acquisition, LLC","P2es Holdings, Inc.",,13.33665,120,,120,,2005,Information Technology Services,541511,54,"Marketing, Design, and Publishing"
53438,Foremost Universal LP,CORLAC INDUSTRIES,51.04802,-114.075411,"Calgary, Alberta, T2P 0S8",T2P,,,,Manufacturing Oilfield Storage Tanks and other Oil Field equipment.,6437,No,No,No,HEADQUARTERS,Foremost Income Fund,Foremost Commercial Trust,,3.24405,20,,10,,2005,Wholesale Sector,423860,42,Distribution and Electronic Commerce
53469,Weatherford Canada Partnership,Weatherford Engineered Chemistry Canada,51.04766464,-114.0746613,"Calgary, Alberta, T2P 0T5",T2P,780-979-4250,,,Weatherford International Ltd. is the fourth largest diversified upstream oilfield service company in the world.  Our broad portfolio of products and services offers everything for the life cycle of a well - from drilling evaluation completion ...,2142,No,Yes,Yes,BRANCH,Weatherford Canada Partnership,Weatherford Canada Partnership,,,,,1,,,Oil & Gas Field Equipment Manufacturing,333132,33,Production Technology and Heavy Machinery
53475,Bantrel Co.,,51.04806,-114.076661,"Calgary, Alberta, T2P 0T8",T2P,403-290-5000,403-290-5050,www.bantrel.com,Bantrel provides quality innovative engineering  procurement and construction (EPC) services to the  energy industries.  Bantrel is one of Canada's largest EPCM  firms with extensive refining oilsands and petrochemical  experience.  We have ...,62624,No,Yes,No,BRANCH,"BECHTEL GROUP, INC.",Bantrel Co.,,,,,1500,,,Engineering Services,541330,54,Business Services
53488,Pandell Technology Corporation,,51.04806,-114.076661,"Calgary, Alberta, T2P 0T8",T2P,403-262-8300,403-262-8303,www.pandell.com,Pandell is a software solutions company that delivers industry specialized software products and  business services to the energy and government sectors. Selected as a Best Place to Work in Calgary and a Branham300 Top Technology Company in Canada ...,8191,No,Yes,No,BRANCH,Pandell Technology Corporation,Pandell Technology Corporation,,,,,21,,,Accounting Services,541219,54,Local Commercial Services
53536,Arter Mobilize Inc,,51.04995346,-114.08078,"Calgary, Alberta, T2P 0V2",T2P,587-892-9585,,www.artermobilize.com,Custom mobile application development. Mobile Apps for business and government. Serving Calgary Edmonton Vancouver and Regina.,1238,No,No,No,SINGLE_LOCATION,,,,0.0773906,1,,1,,,Information Technology Services,541511,54,"Marketing, Design, and Publishing"
53646,ICL Isometrics Consulting Limited,,51.04681,-114.065781,"Calgary, Alberta, T2P 0W7",T2P,403-262-4882,403-262-9129,,Provide data management solutions to the oil and gas agricultural and medical industry.,2099,No,Yes,No,SINGLE_LOCATION,,,,0.15794,2,,2,,,Information Technology Services,541512,54,"Marketing, Design, and Publishing"
53727,G.L.M. Industries L.P.,,51.04712,-114.076611,"Calgary, Alberta, T2P 0Z1",T2P,403-231-2730,,www.glmindustries.com,G.L.M. provides steel (Carbon or Stainless) fabricated tankage built to API AWWA and  ULC codes and pressure vessels built to ASME codes for the oil  mining chemical pulp and paper and related industries. Tanks can be shop fabricated or field ...,5942,No,Yes,Yes,BRANCH,G.L.M. Industries L.P.,G.L.M. Industries L.P.,,,,,5,,,Architectural & Structural Metals Manufacturing,332313,33,Downstream Metal Products
53734,Mi Casa Rentals Inc,,51.04712,-114.076611,"Calgary, Alberta, T2P 0Z1",T2P,403-262-2288,403-266-3810,www.micasa-rentals.com,We rent accomodation at the wellrite engineer and geologist at the location where oil & gas wells are drilled.,3929,No,No,No,SINGLE_LOCATION,,,,1.4418,12,,12,,1993,Commercial & Heavy Construction Contractors,237110,23,"Local Real Estate, Construction, and Development"
53908,Casting for Companies,,51.04569244,-114.0636673,"Calgary, Alberta, T2P 1B3",T2P,403-266-8852,403-269-4040,www.castingforcompanies.com,Executive Recruitment and Retention. Specializing in the Oil and Gas Industry.,3724,No,No,No,SINGLE_LOCATION,,,,0.402747,5,,5,,,Executive Search Services,561312,56,Business Services
54095,HSBC Bank Canada,,51.04564285,-114.0705643,"Calgary, Alberta, T2P 1E5",T2P,403-261-8910,403-269-1568,www.hsbc.ca,HSBC Bank Canada a subsidiary of HSBC Holdings plc London UK has more than 180 offices and is the leading international bank in Canada. With around 9500 offices in 85 countries and territories and assets of US$2547 billion at 30 June 2008 the ...,13175,No,Yes,No,BRANCH,HSBC HOLDINGS PLC,HSBC Bank Canada,,,,,30,,,Banks & Credit Unions,522110,52,Financial Services
54317,Stantec Consulting Ltd,,51.04587936,-114.079216,"Calgary, Alberta, T2P 1H7",T2P,403-269-5150,,,The Stantec community unites more than 15000 employees working in over 250 locations. We collaborate across disciplines and industries to bring buildings energy and resource and infrastructure projects to life. Our work—professional consulting in ...,4080,No,Yes,No,BRANCH,Stantec Inc,Stantec Consulting Ltd,,,,,7,,,Engineering Services,541330,54,Business Services
54462,Circle T Service & Rental Ltd.,,51.04715729,-114.0651703,"Calgary, Alberta, T2P 1M7",T2P,403-234-7424,,,Oilfield equipment rentals & sales of drilling servicing & production tools & equipment. i.e. accumulators blowout preventers shear rams bits cutters scrapers choke manifolds drill collars drill pipe Hevi-Wate tubing pup joints ...,1184,No,Yes,No,SINGLE_LOCATION,,,,0.086867,1,,1,,,Commercial & Industrial Equipment Rental & Leasing,532490,53,Distribution and Electronic Commerce
54526,Valuation Solution Limited,Canadian Business Valuator,51.04489,-114.065831,"Calgary, Alberta, T2P 1N3",T2P,403-264-4038,403-398-0214,www.valuationsolution.com,Valuation Solution Limited is a professional firm offering financial advisory services to enterprises. The firm specializes in the appraisal and valuation of shares assets and ownership interests in privately owned and operated companies. Its work ...,4628,No,No,No,SINGLE_LOCATION,,,,0.454167,5,,5,,2003,Real Estate,531320,53,"Local Real Estate, Construction, and Development"
54530,Sanjel Corporation,,51.048425,-114.067784,"Calgary, Alberta, T2P 1N8",T2P,403-269-1420,403-716-4024,www.sanjel.com,Sanjel is a privately owned Canadian-based international oilfield service company with over three decades of industry experience. As a major competitor in the global oil and gas market Sanjel delivers two product offerings: pressure pumping and ...,27534,No,Yes,No,SINGLE_LOCATION,,,,29.34063,150,,150,,1982,Oil & Gas Field Services,213112,21,Oil and Gas Production and Transportation
