REIR,Cluster,LQ
South Central,Automotive,4.039339473
South Central,Biopharmaceuticals,0
South Central,Business Services,0.530434923
South Central,Coal Mining,0.135398234
South Central,Communications Equipment and Services,0.014471956
South Central,Construction Products and Services,0.328293594
South Central,Distribution and Electronic Commerce,0.865135296
South Central,Downstream Chemical Products,0.929996622
South Central,Downstream Metal Products,1.323467022
South Central,Education and Knowledge Creation,2.372028134
South Central,Electric Power Generation and Transmission,0
South Central,Environmental Services,1.106683612
South Central,Financial Services,0.41355113
South Central,Fishing and Fishing Products,0
South Central,Food Processing and Manufacturing,7.003454624
South Central,Footwear,0
South Central,Forestry,0.033315393
South Central,Furniture,5.192361979
South Central,Grand Total,1
South Central,Hospitality and Tourism,0.830640243
South Central,Information Technology and Analytical Instruments,0.045194945
South Central,Insurance Services,1.32764285
South Central,Jewelry and Precious Metals,4.29438066
South Central,Leather and Related Products,2.266828501
South Central,Lighting and Electrical Equipment,0
South Central,Livestock Processing,2.33141656
South Central,Local Commercial Services,0.724794894
South Central,Local Community and Civic Organizations,1.624540984
South Central,Local Education and Training,1.780843601
South Central,Local Entertainment and Media,1.179105976
South Central,Local Financial Services,0.833038867
South Central,Local Food and Beverage Processing and Distribution,1.0884493
South Central,Local Health Services,1.404025025
South Central,Local Hospitality Establishments,1.135879186
South Central,Local Household Goods and Services,0.994679245
South Central,Local Industrial Products and Services,0.757177476
South Central,Local Logistical Services,0.743118297
South Central,Local Motor Vehicle Products and Services,1.251970774
South Central,Local Personal Services (Non-Medical),0.977392378
South Central,"Local Real Estate, Construction, and Development",0.866957487
South Central,Local Retailing of Clothing and General Merchandise,1.433011353
South Central,Local Utilities,0.200737952
South Central,"Marketing, Design, and Publishing",0.83592692
South Central,Medical Devices,0.941029501
South Central,Metal Mining,0
South Central,Metalworking Technology,0.462241301
South Central,Music and Sound Recording,0
South Central,Nonmetal Mining,0.621012231
South Central,Oil and Gas Production and Transportation,0.159433588
South Central,Paper and Packaging,0
South Central,Performing Arts,0.232797816
South Central,Plastics,0.804418291
South Central,Printing Services,0.823266585
South Central,Production Technology and Heavy Machinery,0.599273406
South Central,Recreational and Small Electric Goods,0
South Central,Textile Manufacturing,0
South Central,"Trailers, Motor Homes, and Appliances",5.246952371
South Central,Transportation and Logistics,1.256448873
South Central,Upstream Chemical Products,0
South Central,Upstream Metal Manufacturing,0.065174135
South Central,Video Production and Distribution,0.616804746
South Central,Vulcanized and Fired Materials,0
South Central,Water Transportation,0.624637187
South Central,Wood Products,1.111261947
Southwest,Aerospace Vehicles and Defense,0
Southwest,Agricultural Inputs and Services,0.490171356
Southwest,Apparel,3.602988518
Southwest,Automotive,0.281401293
Southwest,Biopharmaceuticals,0
Southwest,Business Services,0.163969035
Southwest,Coal Mining,0.594250129
Southwest,Communications Equipment and Services,0.034026458
Southwest,Construction Products and Services,0.286010512
Southwest,Distribution and Electronic Commerce,0.43311759
Southwest,Downstream Chemical Products,0.104124179
Southwest,Downstream Metal Products,0.018633145
Southwest,Education and Knowledge Creation,1.198387652
Southwest,Electric Power Generation and Transmission,1.040147462
Southwest,Environmental Services,1.495421922
Southwest,Financial Services,0.150517226
Southwest,Fishing and Fishing Products,0
Southwest,Food Processing and Manufacturing,1.01599297
Southwest,Footwear,0
Southwest,Forestry,1.09663599
Southwest,Furniture,0.295064164
Southwest,Grand Total,1
Southwest,Hospitality and Tourism,1.711703638
Southwest,Information Technology and Analytical Instruments,0.212524681
Southwest,Insurance Services,0
Southwest,Jewelry and Precious Metals,0
Southwest,Leather and Related Products,0
Southwest,Lighting and Electrical Equipment,0
Southwest,Livestock Processing,3.420704502
Southwest,Local Commercial Services,0.543095919
Southwest,Local Community and Civic Organizations,2.280133404
Southwest,Local Education and Training,2.846166819
Southwest,Local Entertainment and Media,0.900595019
Southwest,Local Financial Services,0.825112446
Southwest,Local Food and Beverage Processing and Distribution,1.247652697
Southwest,Local Health Services,2.169259372
Southwest,Local Hospitality Establishments,1.184382023
Southwest,Local Household Goods and Services,0.891796001
Southwest,Local Industrial Products and Services,0.247886452
Southwest,Local Logistical Services,0.494694676
Southwest,Local Motor Vehicle Products and Services,1.493191566
Southwest,Local Personal Services (Non-Medical),0.76847795
Southwest,"Local Real Estate, Construction, and Development",0.682576296
Southwest,Local Retailing of Clothing and General Merchandise,0.988724918
Southwest,Local Utilities,0.899840199
Southwest,"Marketing, Design, and Publishing",0.682825828
Southwest,Medical Devices,0.134093834
Southwest,Metal Mining,0
Southwest,Metalworking Technology,0
Southwest,Music and Sound Recording,0
Southwest,Nonmetal Mining,6.123099607
Southwest,Oil and Gas Production and Transportation,0.290640508
Southwest,Paper and Packaging,0
Southwest,Performing Arts,0.681151828
Southwest,Plastics,1.555108372
Southwest,Printing Services,0.591452927
Southwest,Production Technology and Heavy Machinery,0.966469938
Southwest,Recreational and Small Electric Goods,0
Southwest,Textile Manufacturing,0.41565474
Southwest,"Trailers, Motor Homes, and Appliances",0
Southwest,Transportation and Logistics,1.208667006
Southwest,Upstream Chemical Products,1.215192345
Southwest,Upstream Metal Manufacturing,0.10215827
Southwest,Video Production and Distribution,0
Southwest,Vulcanized and Fired Materials,0
Southwest,Water Transportation,0
Southwest,Wood Products,0.844541002
West Yellowhead,Aerospace Vehicles and Defense,0
West Yellowhead,Agricultural Inputs and Services,0.063624327
West Yellowhead,Apparel,0
West Yellowhead,Automotive,2.282871045
West Yellowhead,Biopharmaceuticals,0
West Yellowhead,Business Services,0.283776123
West Yellowhead,Coal Mining,7.341482042
West Yellowhead,Communications Equipment and Services,0.055208002
West Yellowhead,Construction Products and Services,0.885613783
West Yellowhead,Distribution and Electronic Commerce,0.8056346
West Yellowhead,Downstream Chemical Products,0.540613459
West Yellowhead,Downstream Metal Products,0.217672692
West Yellowhead,Education and Knowledge Creation,0.187791181
West Yellowhead,Electric Power Generation and Transmission,1.185273809
West Yellowhead,Environmental Services,3.53272966
West Yellowhead,Financial Services,0.560716553
West Yellowhead,Fishing and Fishing Products,0
West Yellowhead,Food Processing and Manufacturing,0.04824734
West Yellowhead,Footwear,0
West Yellowhead,Forestry,13.4379082
West Yellowhead,Furniture,0.15559123
West Yellowhead,Grand Total,1
West Yellowhead,Hospitality and Tourism,2.542339508
West Yellowhead,Information Technology and Analytical Instruments,0.082757222
West Yellowhead,Insurance Services,0
West Yellowhead,Jewelry and Precious Metals,0
West Yellowhead,Leather and Related Products,0
West Yellowhead,Lighting and Electrical Equipment,0
West Yellowhead,Livestock Processing,0.006894535
West Yellowhead,Local Commercial Services,0.934270709
West Yellowhead,Local Community and Civic Organizations,0.672952385
West Yellowhead,Local Education and Training,1.678029232
West Yellowhead,Local Entertainment and Media,0.926024505
West Yellowhead,Local Financial Services,0.564093285
West Yellowhead,Local Food and Beverage Processing and Distribution,0.994626132
West Yellowhead,Local Health Services,0.737947881
West Yellowhead,Local Hospitality Establishments,1.067688961
West Yellowhead,Local Household Goods and Services,1.092588064
West Yellowhead,Local Industrial Products and Services,2.449741146
West Yellowhead,Local Logistical Services,2.990272809
West Yellowhead,Local Motor Vehicle Products and Services,1.421915711
West Yellowhead,Local Personal Services (Non-Medical),0.508334066
West Yellowhead,"Local Real Estate, Construction, and Development",0.784603826
West Yellowhead,Local Retailing of Clothing and General Merchandise,0.937762049
West Yellowhead,Local Utilities,0.566820686
West Yellowhead,"Marketing, Design, and Publishing",0.419200255
West Yellowhead,Medical Devices,0.043513507
West Yellowhead,Metal Mining,0
West Yellowhead,Metalworking Technology,0.901278204
West Yellowhead,Music and Sound Recording,0
West Yellowhead,Nonmetal Mining,2.139790673
West Yellowhead,Oil and Gas Production and Transportation,1.315022903
West Yellowhead,Paper and Packaging,16.89025558
West Yellowhead,Performing Arts,0.118411106
West Yellowhead,Plastics,0
West Yellowhead,Printing Services,0.488540772
West Yellowhead,Production Technology and Heavy Machinery,0.02971136
West Yellowhead,Recreational and Small Electric Goods,0
West Yellowhead,Textile Manufacturing,0.134880144
West Yellowhead,"Trailers, Motor Homes, and Appliances",0
West Yellowhead,Transportation and Logistics,1.287209583
West Yellowhead,Upstream Chemical Products,3.15464355
West Yellowhead,Upstream Metal Manufacturing,0
West Yellowhead,Video Production and Distribution,0.156866876
West Yellowhead,Vulcanized and Fired Materials,0
West Yellowhead,Water Transportation,0.476576508
West Yellowhead,Wood Products,9.163678016
Wood Buffalo,Aerospace Vehicles and Defense,0
Wood Buffalo,Agricultural Inputs and Services,0
Wood Buffalo,Apparel,0
Wood Buffalo,Automotive,0
Wood Buffalo,Biopharmaceuticals,0
Wood Buffalo,Business Services,0.518713474
Wood Buffalo,Coal Mining,0.260325642
Wood Buffalo,Communications Equipment and Services,0
Wood Buffalo,Construction Products and Services,0.622071685
Wood Buffalo,Distribution and Electronic Commerce,1.517901086
Wood Buffalo,Downstream Chemical Products,0
Wood Buffalo,Downstream Metal Products,0.104340598
Wood Buffalo,Education and Knowledge Creation,0.65413117
Wood Buffalo,Electric Power Generation and Transmission,0.774026031
Wood Buffalo,Environmental Services,1.355784056
Wood Buffalo,Financial Services,0.065823037
Wood Buffalo,Fishing and Fishing Products,4.568903656
Wood Buffalo,Food Processing and Manufacturing,0.033038834
Wood Buffalo,Footwear,0
Wood Buffalo,Forestry,0.013924867
Wood Buffalo,Furniture,0.108184994
Wood Buffalo,Grand Total,1
Wood Buffalo,Hospitality and Tourism,0.844500419
Wood Buffalo,Information Technology and Analytical Instruments,0
Wood Buffalo,Insurance Services,0.1098565
Wood Buffalo,Jewelry and Precious Metals,0
Wood Buffalo,Leather and Related Products,0
Wood Buffalo,Lighting and Electrical Equipment,0.035417858
Wood Buffalo,Livestock Processing,0
Wood Buffalo,Local Commercial Services,1.09588705
Wood Buffalo,Local Community and Civic Organizations,0.612238419
Wood Buffalo,Local Education and Training,0.678077452
Wood Buffalo,Local Entertainment and Media,0.659681276
Wood Buffalo,Local Financial Services,0.260605518
Wood Buffalo,Local Food and Beverage Processing and Distribution,0.962272758
Wood Buffalo,Local Health Services,0.316587379
Wood Buffalo,Local Hospitality Establishments,0.736426588
Wood Buffalo,Local Household Goods and Services,0.558104011
Wood Buffalo,Local Industrial Products and Services,0.216326872
Wood Buffalo,Local Logistical Services,1.30929916
Wood Buffalo,Local Motor Vehicle Products and Services,0.857398862
Wood Buffalo,Local Personal Services (Non-Medical),0.625261413
Wood Buffalo,"Local Real Estate, Construction, and Development",1.207524713
Wood Buffalo,Local Retailing of Clothing and General Merchandise,0.742282187
Wood Buffalo,Local Utilities,0.096448824
Wood Buffalo,"Marketing, Design, and Publishing",0.629891935
Wood Buffalo,Medical Devices,0.357566373
Wood Buffalo,Metal Mining,0
Wood Buffalo,Metalworking Technology,0
Wood Buffalo,Music and Sound Recording,0
Wood Buffalo,Nonmetal Mining,0.125596008
Wood Buffalo,Oil and Gas Production and Transportation,4.81471304
Wood Buffalo,Paper and Packaging,0
Wood Buffalo,Performing Arts,0.071355334
Wood Buffalo,Plastics,0
Wood Buffalo,Printing Services,0.430126913
Wood Buffalo,Production Technology and Heavy Machinery,0.027127677
Wood Buffalo,Recreational and Small Electric Goods,0.086934742
Wood Buffalo,Textile Manufacturing,0
Wood Buffalo,"Trailers, Motor Homes, and Appliances",0
Wood Buffalo,Transportation and Logistics,1.440044678
Wood Buffalo,Upstream Chemical Products,0.972107161
Wood Buffalo,Upstream Metal Manufacturing,0
Wood Buffalo,Video Production and Distribution,0
Wood Buffalo,Vulcanized and Fired Materials,0
Wood Buffalo,Water Transportation,0
Wood Buffalo,Wood Products,0.211125105
