icon_size,name,latitude,longitude,address,special,special_1,special_2
small,Edmonton/Morinville (Mike's Field),53.83694444,-113.5633333,"Township Rd 562, Legal, AB T0G 1L0",Elevation: 2302 ft.,,ICAO: CMN6
small,Red Deer / South 40 Airstrip,52.261944,-113.951389,"Hwy 596, Penhold, AB T0M 1R0",Elevation: 3040 ft.,,ICAO: CRD4
small,Edmonton/Morinville (Currie Field),53.819722,-113.760833,"Range Rd 262, Rivière Qui Barre, AB T0G 1Y0",Elevation: 2374 ft.,,ICAO: CCF6
small,Edmonton / Goyer Field,53.57628922,-112.9820251,"Range Rd 211, Ardrossan, AB T8G 2B8",Elevation: 2400 ft.,,ICAO: CGF2
small,Nampa / Hockey,55.91490057,-117.1361554,"AB-2, Jean Côté, AB T0H 2E0",Elevation: 2050 ft.,,ICAO: CNP6
small,Alhambra / Ahlstrom,52.34619404,-114.6675253,"Township Rd 392, Alhambra, AB T0M 0C0",Elevation: 3212 ft.,,ICAO: CAM4
small,Lethbridge (Mercer Field),49.55481129,-112.5615406,"Township Rd 72, Stirling, AB T0K 2E0",Elevation: 3085 ft.,,ICAO: CMF3
small,Wildwood / Loche Mist Farms Airstrip,53.54652961,-115.2606583,"Range Rd 93, Wildwood, AB T0E 2M0",Elevation: 2880 ft.,,ICAO: cjj3
small,Beaverlodge / Clanachan Field,55.23449274,-119.8415923,"Unnamed Road, Goodfare, AB T0H 1T0",Elevation: 2694 ft.,,ICAO: cln4
small,Vulcan / Kirkcaldy Airport,50.33194444,-113.3577778,"Western Crescent, Vulcan, AB T0L 2B0",Elevation: 3418 ft.,,ICAO: CA-0497
small,Red Deer / Truant Airfield,52.28704284,-113.9131808,"Township Rd 384, Blackfalds, AB T0M 0J0",Elevation: 3100 ft.,,ICAO: CRD5
small,Olds / North 40 Ranch Airstrip,51.90017051,-114.1478205,"Range Rd 20, Bowden, AB T0M 0K0",Elevation: 3410 ft.,,ICAO: CTY4
small,Lethbridge / J3 Airfield,49.74162147,-112.7383304,"Range Rd 211, Diamond City, AB T0K 0T0",Elevation: 2910 ft.,,ICAO: clj3
small,Fort McMurray / Legend Airfield,57.19694444,-112.895556,"Unnamed Road, Slave Lake, AB T0G",Elevation: 2061 ft.,,ICAO: CLG7
small,Fort McMurray / North Liege Airfield,57.13609959,-113.2900715,"Opportunity No. 17, AB",Elevation: 2236 ft.,,ICAO: CNL2
small,Fort McMurray / South Liege Airfield,56.83235283,-113.0988407,"Opportunity No. 17, AB",Elevation: 1707 ft.,,ICAO: cls3
small,Black Diamond/Flying R Ranch Airport,50.645,-114.203,"Range Rd 23, Black Diamond, AB T0L 0H0",Elevation: 4060 ft.,,ICAO: GIG
small,Calgary / Christiansen Field,50.79947965,-114.0512609,"226039 32 St, De Winton, AB T0L 0X0",Elevation: 3820 ft.,,ICAO: CRS3
small,Lethbridge / Anderson Field,49.65694444,-112.7727778,"3603 43 St S, Lethbridge, AB T1K 7C5",Elevation: 3020 ft.,,ICAO: cla5
small,Appleton Field,50.9904,-113.3703,"Range Rd 251, Carseland, AB T0J 0M0",Elevation: 3080 ft.,,ICAO: CAP9
small,Edmonton / Villeneuve (Rose Field),53.64555556,-113.8027778,"AB-44, Sturgeon County, AB T8T",Elevation: 2190 ft.,,ICAO: CRF3
